num_of_users,num_of_bits,num_of_groups,interpolation_time,proving_time,verifying_time,proof_size,timestamp
16384,64,8,21678,5116,18,115,2024-04-30 11-21-39.207508 -04-00
16384,64,16,17073,5621,31,231,2024-04-30 11-19-19.574258 -04-00
32768,64,32,32774,11239,57,462,2024-04-30 11-14-59.810878 -04-00
65536,64,32,84836,20185,68,462,2024-04-30 10-05-23.210298 -04-00
16384,64,32,16744,6715,60,462,2024-04-30 11-20-11.489690 -04-00
32768,64,64,32721,13403,108,925,2024-04-30 11-13-15.561731 -04-00
131072,64,64,166898,40317,109,925,2024-04-30 10-16-08.561734 -04-00
65536,64,64,62948,22517,123,925,2024-04-30 11-26-06.950501 -04-00
16384,32,64,12486,4893,77,499,2024-04-30 09-31-39.572150 -04-00
262144,64,64,453742,69137,114,925,2024-04-30 10-42-02.086940 -04-00
32768,32,128,23966,9720,141,998,2024-04-30 09-48-40.202465 -04-00
32768,64,128,35059,17244,212,1850,2024-04-30 11-16-13.131044 -04-00
131072,64,128,122922,44991,229,1850,2024-04-30 10-19-33.490373 -04-00
65536,64,128,60646,26759,211,1850,2024-04-30 11-09-55.499652 -04-00
262144,64,128,329150,79504,239,1850,2024-04-30 10-26-45.392769 -04-00
32768,32,256,24961,12487,277,1997,2024-04-30 09-32-33.040257 -04-00
131072,64,256,125623,53830,438,3700,2024-04-30 11-03-20.746219 -04-00
65536,32,256,49002,19420,281,1997,2024-04-30 09-33-47.142300 -04-00
65536,64,256,70101,34767,417,3700,2024-04-30 11-18-27.738263 -04-00
262144,64,256,244794,91112,473,3700,2024-04-30 10-32-50.971454 -04-00
131072,32,512,94090,39426,548,3993,2024-04-30 09-36-20.181168 -04-00
131072,64,512,138247,69820,827,7401,2024-04-30 11-07-17.445049 -04-00
262144,64,512,234625,108059,872,7401,2024-04-30 10-49-10.299689 -04-00
262144,32,1024,190010,77561,1142,7987,2024-04-30 09-41-22.745791 -04-00
262144,64,1024,278998,139556,1661,14803,2024-04-30 10-56-57.100889 -04-00
